spanish,french,english,russian,spanish synonyms,french synonyms,english synonyms,russian synonyms,tags,cefr_level
central,central,central,центральный,,,main,,directions_positions;adjective,A2
viaje,voyage,journey,путешествие,travesía;recorrido,périple;trajet,trip;voyage,поездка,travel;noun_thing,A2
mar,mer,sea,море,piélago;océano,océan,ocean,океан,nature;places_geography;noun_place,A1
local,local,local,местный,,,,,places_geography;adjective,A2
hermano,frère,brother,брат,,frangin,,,family;noun_person,A1
niño,enfant,child,ребёнок,crío;muchacho,gamin;gosse,kid,,family;baby_childcare;noun_person,A1
red,réseau,network,сеть,,,,,technology;media_communication;noun_thing,B1
objetivo,objectif,objective,цель,meta,but;cible,goal;aim,задача,abstract_concepts;noun_thing,B1
río,rivière,river,река,,cours d'eau,,,nature;places_geography;noun_place,A2
negro,noir,black,чёрный,oscuro,sombre,,тёмный,colors_patterns;adjective,A1
interior,intérieur,interior,внутренний,,,inside,,directions_positions;adjective,B1
sol,soleil,sun,солнце,astro,astre,,,weather;nature;noun_thing,A1
pequeño,petit,small,маленький,chico,réduit,little,небольшой,shapes_measurements;adjective,A1
blanco,blanc,white,белый,albo,,,,colors_patterns;adjective,A1
aire,air,air,воздух,atmósfera,atmosphère,atmosphere,атмосфера,weather;nature;noun_thing,A1
lejos,loin,far,далеко,distante,éloigné,distant,удалённый,directions_positions;adverb,A1
arriba,en haut,up,вверх,encima,au-dessus,above,над,directions_positions;adverb,A1
puerta,porte,door,дверь,acceso;entrada,accès;entrée,entrance,вход,house;construction;noun_thing,A1
puerto,port,port,порт,embarcadero;muelle,quai,harbor,гавань,travel;transportation;noun_place,A2
hija,fille,daughter,дочь,vástago;nena,,,,family;noun_person,A1
color,couleur,color,цвет,tonalidad;tono,teinte,hue;shade,оттенок,colors_patterns;noun_thing,A1
banco,banque,bank,банк,,,,,money;noun_place,A1
oficina,bureau,office,офис,despacho,,,контора,work;noun_place,A1
capacidad,capacité,capacity,вместимость,aptitud,,ability,способность,abstract_concepts;noun_thing,B1
modelo,modèle,model,модель,ejemplo;prototipo,,example;prototype,образец,abstract_concepts;noun_thing,A2
fuego,feu,fire,огонь,lumbre;llama,flamme;incendie,flame,пламя,nature;house;noun_thing,A1
culpa,culpabilité,guilt,вина,responsabilidad;falta,faute,blame,ощущение вины,emotions;abstract_concepts;noun_thing,B1
cámara,caméra,camera,камера,cámara fotográfica,appareil photo,,фотоаппарат,technology;media_communication;noun_thing,A1
probablemente,probablement,probably,вероятно,posiblemente,sans doute;vraisemblablement,possibly,возможно,adverb,A2
decisión,décision,decision,решение,determinación;resolución,résolution;détermination,resolution,постановление,abstract_concepts;noun_thing,B1
abajo,en bas,below,внизу,debajo,en dessous,underneath,ниже,directions_positions;adverb,A2
versión,version,version,версия,,,,,media_communication;abstract_concepts;noun_thing,B1
odio,haine,hatred,ненависть,aversión;repugnancia,aversion;répulsion,aversion,отвращение,emotions;noun_thing,B2
ropa,vêtements,clothing,одежда,vestimenta;indumentaria;atuendo,habits;fringues,garments,одеяние;наряд,clothing;noun_thing,A1
isla,île,island,остров,islote,îlot,,,nature;places_geography;noun_place,A2
profesor,professeur,teacher,учитель,maestro;docente,enseignant,professor;instructor,преподаватель,school;professions;noun_person,A1
original,original,original,оригинал,primigenio,,,,abstract_concepts;adjective,A2
prensa,étau,vise,тиски,tornillo de banco,,,,tools_diy;noun_thing,C1
canal,canal,channel,канал,,,canal,,media_communication;noun_thing,B1
verano,été,summer,лето,,,,,time;weather;noun_thing,A1
hospital,hôpital,hospital,больница,sanatorio,,,госпиталь,health;noun_place,A1
completamente,complètement,completely,полностью,totalmente,entièrement,entirely,,adverb,A2
suelo,sol,floor,пол,pavimento;piso,plancher,,,house;construction;noun_thing,A1
sala,salon,room,комната,estancia,séjour,living room,помещение,house;noun_place,A1
protección,protection,protection,защита,amparo,,,,law_society;health;abstract_concepts;noun_thing,B1
sueño,sommeil,sleep,сон,,,,,health;noun_thing,A1
edificio,bâtiment,building,здание,inmueble;construcción,immeuble;construction,edifice,строение,construction;places_geography;noun_place,A2
mesa,table,table,стол,,,,,furniture;noun_thing,A1
completo,complet,complete,полный,íntegro,,whole,,abstract_concepts;adjective,A2
material,matériau,material,материал,materia,matière,substance,,materials;noun_thing,B1
venta,vente,sale,продажа,transacción,transaction,transaction,,shopping;money;noun_thing,A2
solución,solution,solution,решение,resolución;remedio,remède;issue,remedy,выход,abstract_concepts;noun_thing,B1
confianza,confiance,confidence,уверенность,seguridad;fe,assurance,trust,доверие,emotions;abstract_concepts;noun_thing,B1
hambre,faim,hunger,голод,apetito;gana,appétit,appetite,аппетит,food;health;noun_thing,A1
legal,légal,legal,законный,lícito,licite,,,law_society;adjective,B1
perro,chien,dog,собака,can,,,,animals;noun_thing,A1
cama,lit,bed,кровать,lecho;catre,couchette,,ложе,furniture;house;noun_thing,A1
opción,option,option,вариант,alternativa,choix,alternative;choice,альтернатива,abstract_concepts;noun_thing,A2
memoria,mémoire,memory,память,recuerdo,souvenir,recall;remembrance,,abstract_concepts;noun_thing,B1
silencio,silence,silence,тишина,mutismo;calma,,quiet,покой,abstract_concepts;noun_thing,A2
producto,produit,product,продукт,artículo;mercancía,article;marchandise,item;merchandise,товар,shopping;noun_thing,A2
médico,médecin,doctor,врач,doctor,docteur,physician,доктор,health;professions;noun_person,A1
verde,vert,green,зелёный,verdoso,,,,colors_patterns;adjective,A1
esperanza,espoir,hope,надежда,ilusión;expectativa,espérance,,,emotions;noun_thing,A2
hermana,sœur,sister,сестра,,frangine,,,family;noun_person,A1
parque,parc,park,парк,,,,,places_geography;nature;noun_place,A1
comercial,commercial,commercial,коммерческий,,,,,shopping;work;adjective,B1
exterior,extérieur,exterior,внешний,,,outside;outer,наружный,directions_positions;adjective,B1
rojo,rouge,red,красный,encarnado;rojizo,rougeâtre,,алый;пунцовый,colors_patterns;adjective,A1
niña,fille,girl,девочка,muchacha,fillette,,,family;baby_childcare;noun_person,A1
juez,juge,judge,судья,magistrado,,,,law_society;professions;noun_person,B1
carne,viande,meat,мясо,,,,,food;noun_thing,A1
teatro,théâtre,theater,театр,,,,,art;noun_place,A1
azul,bleu,blue,синий,añil;celeste,azur,azure,лазурный,colors_patterns;adjective,A1
marco,cadre,frame,рама,,,,,art;noun_thing,B1
pan,pain,bread,хлеб,hogaza;barra,,,,food;noun_thing,A1
sección,section,section,раздел,apartado,,,часть,abstract_concepts;noun_thing,B1
pelo,cheveux,hair,волосы,cabello;cabellera,,,шевелюра,body;personal_care;noun_thing,A1
peligro,danger,danger,опасность,riesgo;amenaza,risque;menace,risk;threat,риск;угроза,health;abstract_concepts;noun_thing,A2
amiga,amie,friend,подруга,compañera;camarada,copine;camarade,,товарищ,emotions;noun_person,A1
estación,gare,station,станция,parada;terminal,station,,вокзал,transportation;noun_place,A1
baño,salle de bains,bathroom,ванная,lavabo;aseo,toilettes;sanitaires,restroom,туалет;уборная,house;noun_place,A1
compra,achat,purchase,покупка,adquisición,acquisition,buy,приобретение,shopping;noun_thing,A2
exactamente,exactement,exactly,точно,cabalmente,,,,adverb,A2
hotel,hôtel,hotel,отель,,,,гостиница,travel;noun_place,A1
demanda,demande,request,запрос,petición,requête,,просьба,law_society;abstract_concepts;noun_thing,B1
luna,lune,moon,луна,,,,,nature;noun_thing,A1
piso,étage,floor,этаж,planta;nivel,niveau,level,ярус,construction;house;noun_thing,A1
abogado,avocat,lawyer,адвокат,letrado,,attorney,юрист,law_society;professions;noun_person,B1
contexto,contexte,context,контекст,entorno,,,,abstract_concepts;noun_thing,B2
piedra,pierre,stone,камень,roca;canto,rocher;caillou,rock,скала,nature;materials;noun_thing,A2
aeropuerto,aéroport,airport,аэропорт,aeródromo;terminal aéreo,aérogare,,,travel;transportation;noun_place,A1
idioma,langue,language,язык,lengua,idiome,,,school;media_communication;noun_thing,A1
basura,poubelle,trash,мусор,desechos;residuos,ordures,garbage,отходы,household_cleaning;noun_thing,A1
corto,court,short,короткий,breve,bref,brief,краткий,shapes_measurements;adjective,A1
tienda,magasin,store,магазин,negocio;local,boutique;échoppe,shop,лавка,shopping;noun_place,A1
coche,voiture,car,машина,automóvil;auto,bagnole;caisse,automobile,автомобиль,transportation;noun_thing,A1
leche,lait,milk,молоко,,,,,drink;food;noun_thing,A1
perfil,profil,profile,профиль,,,,,technology;media_communication;noun_thing,B1
pantalla,écran,screen,экран,monitor,moniteur,,монитор,technology;noun_thing,A2
león,lion,lion,лев,,,,,animals;noun_thing,A1
ropa interior,sous-vêtements,underwear,нижнее белье,lencería,lingerie,,,clothing;noun_thing,A2
artista,artiste,artist,артист,,,,художник,art;professions;noun_person,A1
identidad,identité,identity,идентичность,,,,,abstract_concepts;noun_thing,B1
playa,plage,beach,пляж,orilla;costa,rivage;côte,,берег,travel;nature;places_geography;noun_place,A1
permiso,permission,permission,разрешение,autorización;licencia,autorisation,authorization;license,лицензия,law_society;abstract_concepts;noun_thing,A2
tren,train,train,поезд,ferrocarril,chemin de fer,,,transportation;travel;noun_thing,A1
cocina,cuisine,kitchen,кухня,,,,,house;cooking;noun_place,A1
rosa,rose,pink,розовый,rosado,,,,colors_patterns;adjective,A1
dulce,sucré,sweet,сладкий,azucarado,doux,sugary,сахарный,food;textures_qualities;adjective,A1
puente,pont,bridge,мост,pasarela;viaducto,passerelle;viaduc,footbridge;viaduct,виадук;пешеходный мост,transportation;construction;noun_place,A2
periodista,journaliste,journalist,журналист,reportero,,reporter,репортёр,media_communication;professions;noun_person,A2
estrategia,stratégie,strategy,стратегия,,,,,work;abstract_concepts;noun_thing,B2
frío,froid,cold,холодный,gélido,glacial,chilly,ледяной,weather;adjective,A1
pensamiento,pensée,thought,мысль,reflexión;idea;razonamiento,réflexion;idée,idea;reflection,идея;размышление,abstract_concepts;noun_thing,B1
claramente,clairement,clearly,ясно,evidentemente,nettement;évidemment,obviously,очевидно,adverb,B1
precisamente,précisément,precisely,точно,justamente,justement,exactly,ровно,adverb,A2
avión,avion,plane,самолёт,aeroplano;aeronave,,airplane;aircraft,воздушное судно,travel;transportation;noun_thing,A1
madera,bois,wood,древесина,leño,,,дерево,materials;noun_thing,A2
biblioteca,bibliothèque,library,библиотека,mediateca,,,,school;literature;noun_place,A1
escritor,écrivain,writer,писатель,autor,,author,автор,literature;professions;noun_person,A2
resolución,résolution,resolution,решение,determinación,,determination,решимость,media_communication;abstract_concepts;noun_thing,B1
regional,régional,regional,региональный,,,,,places_geography;adjective,B1
museo,musée,museum,музей,,,,,art;travel;noun_place,A1
habitación,chambre,room,комната,alcoba;cuarto;dormitorio,pièce,bedroom,спальня;помещение,house;noun_place,A1
rápidamente,rapidement,quickly,быстро,rápido;velozmente,vite;prestement,rapidly,скоро;оперативно,adverb,A2
plataforma,plateforme,platform,платформа,,,,,technology;noun_thing,B1
técnico,technique,technical,технический,,,,,technology;adjective,B1
frecuencia,fréquence,frequency,частота,,,,,shapes_measurements;abstract_concepts;noun_thing,B2
valle,vallée,valley,долина,,,,,nature;places_geography;noun_place,A2
metro,métro,metro,метро,subte,,subway,подземка,transportation;noun_thing,A1
viento,vent,wind,ветер,brisa;ráfaga,brise;rafale,breeze,бриз;порыв,weather;nature;noun_thing,A1
estrella,étoile,star,звезда,astro,astre,,астро,nature;noun_thing,A1
temprano,tôt,early,рано,pronto,de bonne heure,,,time;adverb,A1
capítulo,chapitre,chapter,глава,,,,,literature;noun_thing,A2
señal,signal,signal,сигнал,,,,,media_communication;transportation;noun_thing,B1
tarjeta,carte,card,карта,,,,карточка,money;shopping;noun_thing,A1
sorpresa,surprise,surprise,сюрприз,asombro;extrañeza,étonnement,astonishment,удивление;неожиданность,emotions;noun_thing,A2
igualdad,égalité,equality,равенство,equivalencia;paridad,,parity,паритет,law_society;abstract_concepts;noun_thing,B1
seguramente,sûrement,surely,наверняка,con seguridad,certainement,certainly,безусловно;несомненно,adverb,B1
normalmente,normalement,normally,обычно,habitualmente,habituellement,usually,стандартно;повседневно,adverb,A2
oferta,offre,offer,предложение,,,,,shopping;money;noun_thing,A2
invierno,hiver,winter,зима,,,,,time;weather;noun_thing,A1
clima,climat,climate,климат,,,,,weather;noun_thing,A2
escala,échelle,scale,масштаб,,,,,shapes_measurements;noun_thing,B2
cerebro,cerveau,brain,мозг,sesos,cervelle,,серое вещество,body;health;noun_thing,A2
vergüenza,honte,shame,стыд,pena;bochorno,gêne;embarras,embarrassment,позор;смущение,emotions;noun_thing,B1
industrial,industriel,industrial,промышленный,,,,,work;adjective,B2
mentira,mensonge,lie,ложь,embuste;engaño;falsedad,tromperie;fausseté,falsehood,неправда;враньё,abstract_concepts;noun_thing,A2
resumen,résumé,summary,резюме,sumario,synthèse,abstract,сводка;краткое изложение,literature;school;noun_thing,B1
constante,constante,constant,постоянная,,,,,abstract_concepts;adjective,B2
gato,chat,cat,кот,minino;micho,minet,kitty,котофей,animals;noun_thing,A1
archivo,fichier,file,файл,fichero,,,архив,technology;media_communication;noun_thing,A2
cuello,cou,neck,шея,pescuezo,,,,body;clothing;noun_thing,A1
carretera,route,road,дорога,vía;autovía;calzada,voie;chaussée,highway,шоссе;трасса,transportation;noun_place,A1
lluvia,pluie,rain,дождь,precipitación;chaparrón,averse;précipitation,,ливень,weather;noun_thing,A1
moneda,monnaie,currency,валюта,pecunia;divisa,pièce;devise,coin,деньги,money;noun_thing,B1
motor,moteur,engine,двигатель,propulsor,propulseur,,,transportation;vehicle_parts;noun_thing,A2
amistad,amitié,friendship,дружба,compañerismo;camaradería,camaraderie,,,emotions;abstract_concepts;noun_thing,A2
alegría,joie,joy,радость,felicidad;gozo,bonheur;allégresse,happiness,веселье;счастье,emotions;noun_thing,A2
pecho,poitrine,chest,грудь,busto,buste,,,body;noun_thing,A2
licencia,licence,license,лицензия,permiso,permis,permit,разрешение,law_society;transportation;noun_thing,B1
perfectamente,parfaitement,perfectly,в совершенстве,impecablemente,impeccablement,flawlessly,идеально,adverb,B1
castillo,château,castle,замок,fortaleza,forteresse,fortress,крепость,travel;places_geography;noun_place,A2
primavera,printemps,spring,весна,,,,,time;weather;noun_thing,A1
vestido,robe,dress,платье,,,,,clothing;noun_thing,A1
bosque,forêt,forest,лес,arboleda;selva,bois,woods,роща,nature;places_geography;noun_place,A1
sal,sel,salt,соль,,,,,food;cooking;noun_thing,A1
ilegal,illégal,illegal,нелегальный,ilícito,illicite,unlawful,незаконный,law_society;adjective,B1
ruido,bruit,noise,шум,estruendo,vacarme,,,abstract_concepts;noun_thing,A2
jardín,jardin,garden,сад,,,,,house;plants_garden;noun_place,A1
perspectiva,point de vue,perspective,перспектива,punto de vista,,viewpoint,точка зрения,abstract_concepts;noun_thing,B2
caballo,cheval,horse,лошадь,corcel;potro,destrier,,конь,animals;noun_thing,A1
orgullo,fierté,pride,гордость,soberbia;vanidad,orgueil,self-esteem,самолюбие,emotions;noun_thing,B1
montaña,montagne,mountain,гора,sierra;monte;cerro,mont,peak,пик;вершина,nature;places_geography;noun_place,A1
rural,rural,rural,сельский,campestre,,,деревенский,places_geography;adjective,B1
estadio,stade,stadium,стадион,,,,,sports;noun_place,A2
ventana,fenêtre,window,окно,ventanal,baie vitrée,,,house;construction;noun_thing,A1
actor,acteur,actor,актёр,intérprete,comédien,,исполнитель,art;professions;noun_person,A1
zapatos,chaussures,shoes,обувь,calzado,souliers,footwear,туфли,clothing;noun_thing,A1
barco,bateau,boat,лодка,navío;embarcación,navire;embarcation,vessel,судно,transportation;travel;noun_thing,A1
clásico,classique,classic,классический,tradicional,,traditional,традиционный,art;adjective,B1
cuadro,tableau,painting,картина,obra;pintura;lienzo,peinture,artwork,полотно;живопись,art;noun_thing,A2
granada,grenade,grenade,граната,,,,,law_society;noun_thing,B2
taller,atelier,workshop,мастерская,obrador,,,цех,work;tools_diy;noun_place,B1
pared,mur,wall,стена,tapia;muro,paroi,,,house;construction;noun_thing,A1
huevo,œuf,egg,яйцо,,,,,food;cooking;noun_thing,A1
teléfono inteligente,smartphone,smartphone,смартфон,móvil;celular,,,,technology;media_communication;noun_thing,A1
científico,scientifique,scientist,учёный,,,,,school;professions;noun_person,A2
formato,format,format,формат,,,,,media_communication;technology;noun_thing,B1
lago,lac,lake,озеро,,,,,nature;places_geography;noun_place,A2
falso,faux,false,ложный,falsificado,contrefait,fake,фальшивый,abstract_concepts;adjective,A2
copia,copie,copy,копия,reproducción;duplicata,,duplicate,дубликат,media_communication;noun_thing,A2
fábrica,usine,factory,завод,factoría,,,фабрика,work;noun_place,A2
flor,fleur,flower,цветок,,,,,plants_garden;nature;noun_thing,A1
dedo,doigt,finger,палец,,,,,body;noun_thing,A1
peligroso,dangereux,dangerous,опасный,arriesgado,risqué,risky,рискованный,health;adjective,A2
techo,toit,roof,крыша,tejado;cubierta,toiture,,,house;construction;noun_thing,A2
columna,colonne,column,колонна,,,,,construction;media_communication;noun_thing,B1
anuncio,annonce,advertisement,реклама,aviso,publicité,,объявление,media_communication;shopping;noun_thing,A2
azúcar,sucre,sugar,сахар,,,,,food;cooking;noun_thing,A1
aceite,huile,oil,масло,,,,,food;cooking;noun_thing,A1
raíz,racine,root,корень,,,,,plants_garden;nature;noun_thing,A2
índice,index,index,индекс,,,,,literature;media_communication;noun_thing,B1
moderno,moderne,modern,современный,actual,,,,abstract_concepts;adjective,A2
queso,fromage,cheese,сыр,,,,,food;noun_thing,A1
templo,temple,temple,храм,,,,,religion;noun_place,A2
metal,métal,metal,металл,,,,,materials;noun_thing,A2
solidaridad,solidarité,solidarity,солидарность,apoyo,,,,law_society;abstract_concepts;noun_thing,B2
cable,câble,cable,кабель,,,,,technology;noun_thing,A2
silla,chaise,chair,стул,,,,,furniture;noun_thing,A1
ingeniero,ingénieur,engineer,инженер,,,,,work;professions;noun_person,A2
brillante,brillant,bright,яркий,reluciente,éclatant,,блестящий,textures_qualities;adjective,A2
cena,dîner,dinner,ужин,,,,,food;noun_thing,A1
batería,batterie,battery,батарея,acumulador,accumulateur,,,technology;noun_thing,A2
enfermo,malade,sick,больной,indispuesto,souffrant,ill,нездоровый,health;adjective,A1
agradable,agréable,pleasant,приятный,placentero,plaisant,,,emotions;adjective,A2
espejo,miroir,mirror,зеркало,luna,glace,,,house;personal_care;noun_thing,A1
chocolate,chocolat,chocolate,шоколад,,,,,food;noun_thing,A1
paciencia,patience,patience,терпение,tolerancia,tolérance,,,emotions;abstract_concepts;noun_thing,B1
urbano,urbain,urban,городской,citadino,,,,places_geography;adjective,B1
piloto,pilote,pilot,пилот,,,,,transportation;professions;noun_person,A2
patio,cour,patio,патио,terraza,terrasse,courtyard,дворик,house;noun_place,A2
arroz,riz,rice,рис,,,,,food;cooking;noun_thing,A1
nieve,neige,snow,снег,,,,,weather;noun_thing,A1
pollo,poulet,chicken,курица,,,,,food;animals;noun_thing,A1
soldado,soldat,soldier,солдат,militar,,,,law_society;professions;noun_person,A2
roca,roche,rock,скала,piedra,pierre,,,nature;materials;noun_thing,A2
combustible,carburant,fuel,топливо,carburante;gasolina,essence,gasoline;petrol,,transportation;materials;noun_thing,B1
desayuno,petit-déjeuner,breakfast,завтрак,,,,,food;noun_thing,A1
traje,costume,suit,костюм,terno;ambo,complet,,,clothing;work;noun_thing,A2
cartel,pancarte,sign,знак,póster;afiche,affiche,poster,плакат;афиша,media_communication;noun_thing,A2
rueda,roue,wheel,колесо,llanta,,,,transportation;vehicle_parts;noun_thing,A2
recuperación,récupération,recovery,восстановление,restablecimiento,,,,health;abstract_concepts;noun_thing,B1
