language_code,infinitive,mood,tense,pronoun,conjugated_form,batch,review_status,source_note
FR,avoir,Subjonctif,Subjonctif imparfait,tu,eusses,1,reviewed,high-frequency irregular paradigm; QA recommended
FR,avoir,Subjonctif,Subjonctif imparfait,"il (elle, on)",eût,1,reviewed,high-frequency irregular paradigm; QA recommended
FR,avoir,Subjonctif,Subjonctif imparfait,nous,eussions,1,reviewed,high-frequency irregular paradigm; QA recommended
FR,avoir,Subjonctif,Subjonctif imparfait,vous,eussiez,1,reviewed,high-frequency irregular paradigm; QA recommended
FR,avoir,Subjonctif,Subjonctif imparfait,ils (elles),eussent,1,reviewed,high-frequency irregular paradigm; QA recommended
FR,faire,Indicatif,Présent,je,fais,1,reviewed,high-frequency irregular paradigm; QA recommended
FR,faire,Indicatif,Présent,tu,fais,1,reviewed,high-frequency irregular paradigm; QA recommended
FR,faire,Indicatif,Présent,"il (elle, on)",fait,1,reviewed,high-frequency irregular paradigm; QA recommended
FR,faire,Indicatif,Présent,nous,faisons,1,reviewed,high-frequency irregular paradigm; QA recommended
FR,faire,Indicatif,Présent,vous,faites,1,reviewed,high-frequency irregular paradigm; QA recommended
FR,faire,Indicatif,Présent,ils (elles),font,1,reviewed,high-frequency irregular paradigm; QA recommended
FR,faire,Indicatif,Futur,je,ferai,1,reviewed,high-frequency irregular paradigm; QA recommended
FR,faire,Indicatif,Futur,tu,feras,1,reviewed,high-frequency irregular paradigm; QA recommended
FR,faire,Indicatif,Futur,"il (elle, on)",fera,1,reviewed,high-frequency irregular paradigm; QA recommended
FR,faire,Indicatif,Futur,nous,ferons,1,reviewed,high-frequency irregular paradigm; QA recommended
FR,faire,Indicatif,Futur,vous,ferez,1,reviewed,high-frequency irregular paradigm; QA recommended
FR,faire,Indicatif,Futur,ils (elles),feront,1,reviewed,high-frequency irregular paradigm; QA recommended
FR,faire,Indicatif,Passé composé,je,ai fait,1,reviewed,high-frequency irregular paradigm; QA recommended
FR,faire,Indicatif,Passé composé,tu,as fait,1,reviewed,high-frequency irregular paradigm; QA recommended
FR,faire,Indicatif,Passé composé,"il (elle, on)",a fait,1,reviewed,high-frequency irregular paradigm; QA recommended
FR,faire,Indicatif,Passé composé,nous,avons fait,1,reviewed,high-frequency irregular paradigm; QA recommended
FR,faire,Indicatif,Passé composé,vous,avez fait,1,reviewed,high-frequency irregular paradigm; QA recommended
FR,faire,Indicatif,Passé composé,ils (elles),ont fait,1,reviewed,high-frequency irregular paradigm; QA recommended
FR,faire,Indicatif,Imparfait,je,faisais,1,reviewed,high-frequency irregular paradigm; QA recommended
FR,faire,Indicatif,Imparfait,tu,faisais,1,reviewed,high-frequency irregular paradigm; QA recommended
FR,faire,Indicatif,Imparfait,"il (elle, on)",faisait,1,reviewed,high-frequency irregular paradigm; QA recommended
FR,faire,Indicatif,Imparfait,nous,faisions,1,reviewed,high-frequency irregular paradigm; QA recommended
FR,faire,Indicatif,Imparfait,vous,faisiez,1,reviewed,high-frequency irregular paradigm; QA recommended
FR,faire,Indicatif,Imparfait,ils (elles),faisaient,1,reviewed,high-frequency irregular paradigm; QA recommended
FR,faire,Conditionnel,Conditionnel présent,je,ferais,1,reviewed,high-frequency irregular paradigm; QA recommended
FR,faire,Conditionnel,Conditionnel présent,tu,ferais,1,reviewed,high-frequency irregular paradigm; QA recommended
FR,faire,Conditionnel,Conditionnel présent,"il (elle, on)",ferait,1,reviewed,high-frequency irregular paradigm; QA recommended
FR,faire,Conditionnel,Conditionnel présent,nous,ferions,1,reviewed,high-frequency irregular paradigm; QA recommended
FR,faire,Conditionnel,Conditionnel présent,vous,feriez,1,reviewed,high-frequency irregular paradigm; QA recommended
FR,faire,Conditionnel,Conditionnel présent,ils (elles),feraient,1,reviewed,high-frequency irregular paradigm; QA recommended
FR,faire,Impératif,Impératif,je,-,1,reviewed,high-frequency irregular paradigm; QA recommended; French imperative only uses tu / nous / vous; placeholder - used for unsupported slot
FR,faire,Impératif,Impératif,tu,fais,1,reviewed,high-frequency irregular paradigm; QA recommended
FR,faire,Impératif,Impératif,"il (elle, on)",-,1,reviewed,high-frequency irregular paradigm; QA recommended; French imperative only uses tu / nous / vous; placeholder - used for unsupported slot
FR,faire,Impératif,Impératif,nous,faisons,1,reviewed,high-frequency irregular paradigm; QA recommended
FR,faire,Impératif,Impératif,vous,faites,1,reviewed,high-frequency irregular paradigm; QA recommended
FR,faire,Impératif,Impératif,ils (elles),-,1,reviewed,high-frequency irregular paradigm; QA recommended; French imperative only uses tu / nous / vous; placeholder - used for unsupported slot
FR,faire,Subjonctif,Subjonctif présent,je,fasse,1,reviewed,high-frequency irregular paradigm; QA recommended
FR,faire,Subjonctif,Subjonctif présent,tu,fasses,1,reviewed,high-frequency irregular paradigm; QA recommended
FR,faire,Subjonctif,Subjonctif présent,"il (elle, on)",fasse,1,reviewed,high-frequency irregular paradigm; QA recommended
FR,faire,Subjonctif,Subjonctif présent,nous,fassions,1,reviewed,high-frequency irregular paradigm; QA recommended
FR,faire,Subjonctif,Subjonctif présent,vous,fassiez,1,reviewed,high-frequency irregular paradigm; QA recommended
FR,faire,Subjonctif,Subjonctif présent,ils (elles),fassent,1,reviewed,high-frequency irregular paradigm; QA recommended
FR,faire,Indicatif,Passé Simple,je,fis,1,reviewed,high-frequency irregular paradigm; QA recommended
FR,faire,Indicatif,Passé Simple,tu,fis,1,reviewed,high-frequency irregular paradigm; QA recommended
FR,faire,Indicatif,Passé Simple,"il (elle, on)",fit,1,reviewed,high-frequency irregular paradigm; QA recommended
FR,faire,Indicatif,Passé Simple,nous,fîmes,1,reviewed,high-frequency irregular paradigm; QA recommended
FR,faire,Indicatif,Passé Simple,vous,fîtes,1,reviewed,high-frequency irregular paradigm; QA recommended
FR,faire,Indicatif,Passé Simple,ils (elles),firent,1,reviewed,high-frequency irregular paradigm; QA recommended
FR,faire,Subjonctif,Subjonctif imparfait,je,fisse,1,reviewed,high-frequency irregular paradigm; QA recommended
FR,faire,Subjonctif,Subjonctif imparfait,tu,fisses,1,reviewed,high-frequency irregular paradigm; QA recommended
FR,faire,Subjonctif,Subjonctif imparfait,"il (elle, on)",fît,1,reviewed,high-frequency irregular paradigm; QA recommended
FR,faire,Subjonctif,Subjonctif imparfait,nous,fissions,1,reviewed,high-frequency irregular paradigm; QA recommended
FR,faire,Subjonctif,Subjonctif imparfait,vous,fissiez,1,reviewed,high-frequency irregular paradigm; QA recommended
FR,faire,Subjonctif,Subjonctif imparfait,ils (elles),fissent,1,reviewed,high-frequency irregular paradigm; QA recommended
FR,dire,Indicatif,Présent,je,dis,1,reviewed,irregular vous form and literary forms; QA recommended
FR,dire,Indicatif,Présent,tu,dis,1,reviewed,irregular vous form and literary forms; QA recommended
FR,dire,Indicatif,Présent,"il (elle, on)",dit,1,reviewed,irregular vous form and literary forms; QA recommended
FR,dire,Indicatif,Présent,nous,disons,1,reviewed,irregular vous form and literary forms; QA recommended
FR,dire,Indicatif,Présent,vous,dites,1,reviewed,irregular vous form and literary forms; QA recommended
FR,dire,Indicatif,Présent,ils (elles),disent,1,reviewed,irregular vous form and literary forms; QA recommended
FR,dire,Indicatif,Futur,je,dirai,1,reviewed,irregular vous form and literary forms; QA recommended
FR,dire,Indicatif,Futur,tu,diras,1,reviewed,irregular vous form and literary forms; QA recommended
FR,dire,Indicatif,Futur,"il (elle, on)",dira,1,reviewed,irregular vous form and literary forms; QA recommended
FR,dire,Indicatif,Futur,nous,dirons,1,reviewed,irregular vous form and literary forms; QA recommended
FR,dire,Indicatif,Futur,vous,direz,1,reviewed,irregular vous form and literary forms; QA recommended
FR,dire,Indicatif,Futur,ils (elles),diront,1,reviewed,irregular vous form and literary forms; QA recommended
FR,dire,Indicatif,Passé composé,je,ai dit,1,reviewed,irregular vous form and literary forms; QA recommended
FR,dire,Indicatif,Passé composé,tu,as dit,1,reviewed,irregular vous form and literary forms; QA recommended
FR,dire,Indicatif,Passé composé,"il (elle, on)",a dit,1,reviewed,irregular vous form and literary forms; QA recommended
FR,dire,Indicatif,Passé composé,nous,avons dit,1,reviewed,irregular vous form and literary forms; QA recommended
FR,dire,Indicatif,Passé composé,vous,avez dit,1,reviewed,irregular vous form and literary forms; QA recommended
FR,dire,Indicatif,Passé composé,ils (elles),ont dit,1,reviewed,irregular vous form and literary forms; QA recommended
FR,dire,Indicatif,Imparfait,je,disais,1,reviewed,irregular vous form and literary forms; QA recommended
FR,dire,Indicatif,Imparfait,tu,disais,1,reviewed,irregular vous form and literary forms; QA recommended
FR,dire,Indicatif,Imparfait,"il (elle, on)",disait,1,reviewed,irregular vous form and literary forms; QA recommended
FR,dire,Indicatif,Imparfait,nous,disions,1,reviewed,irregular vous form and literary forms; QA recommended
FR,dire,Indicatif,Imparfait,vous,disiez,1,reviewed,irregular vous form and literary forms; QA recommended
FR,dire,Indicatif,Imparfait,ils (elles),disaient,1,reviewed,irregular vous form and literary forms; QA recommended
FR,dire,Conditionnel,Conditionnel présent,je,dirais,1,reviewed,irregular vous form and literary forms; QA recommended
FR,dire,Conditionnel,Conditionnel présent,tu,dirais,1,reviewed,irregular vous form and literary forms; QA recommended
FR,dire,Conditionnel,Conditionnel présent,"il (elle, on)",dirait,1,reviewed,irregular vous form and literary forms; QA recommended
FR,dire,Conditionnel,Conditionnel présent,nous,dirions,1,reviewed,irregular vous form and literary forms; QA recommended
FR,dire,Conditionnel,Conditionnel présent,vous,diriez,1,reviewed,irregular vous form and literary forms; QA recommended
FR,dire,Conditionnel,Conditionnel présent,ils (elles),diraient,1,reviewed,irregular vous form and literary forms; QA recommended
FR,dire,Impératif,Impératif,je,-,1,reviewed,irregular vous form and literary forms; QA recommended; French imperative only uses tu / nous / vous; placeholder - used for unsupported slot
FR,dire,Impératif,Impératif,tu,dis,1,reviewed,irregular vous form and literary forms; QA recommended
FR,dire,Impératif,Impératif,"il (elle, on)",-,1,reviewed,irregular vous form and literary forms; QA recommended; French imperative only uses tu / nous / vous; placeholder - used for unsupported slot
FR,dire,Impératif,Impératif,nous,disons,1,reviewed,irregular vous form and literary forms; QA recommended
FR,dire,Impératif,Impératif,vous,dites,1,reviewed,irregular vous form and literary forms; QA recommended
FR,dire,Impératif,Impératif,ils (elles),-,1,reviewed,irregular vous form and literary forms; QA recommended; French imperative only uses tu / nous / vous; placeholder - used for unsupported slot
FR,dire,Subjonctif,Subjonctif présent,je,dise,1,reviewed,irregular vous form and literary forms; QA recommended
FR,dire,Subjonctif,Subjonctif présent,tu,dises,1,reviewed,irregular vous form and literary forms; QA recommended
FR,dire,Subjonctif,Subjonctif présent,"il (elle, on)",dise,1,reviewed,irregular vous form and literary forms; QA recommended
FR,dire,Subjonctif,Subjonctif présent,nous,disions,1,reviewed,irregular vous form and literary forms; QA recommended
FR,dire,Subjonctif,Subjonctif présent,vous,disiez,1,reviewed,irregular vous form and literary forms; QA recommended
FR,dire,Subjonctif,Subjonctif présent,ils (elles),disent,1,reviewed,irregular vous form and literary forms; QA recommended
FR,dire,Indicatif,Passé Simple,je,dis,1,reviewed,irregular vous form and literary forms; QA recommended
FR,dire,Indicatif,Passé Simple,tu,dis,1,reviewed,irregular vous form and literary forms; QA recommended
FR,dire,Indicatif,Passé Simple,"il (elle, on)",dit,1,reviewed,irregular vous form and literary forms; QA recommended
FR,dire,Indicatif,Passé Simple,nous,dîmes,1,reviewed,irregular vous form and literary forms; QA recommended
FR,dire,Indicatif,Passé Simple,vous,dîtes,1,reviewed,irregular vous form and literary forms; QA recommended
FR,dire,Indicatif,Passé Simple,ils (elles),dirent,1,reviewed,irregular vous form and literary forms; QA recommended
FR,dire,Subjonctif,Subjonctif imparfait,je,disse,1,reviewed,irregular vous form and literary forms; QA recommended
FR,dire,Subjonctif,Subjonctif imparfait,tu,disses,1,reviewed,irregular vous form and literary forms; QA recommended
FR,dire,Subjonctif,Subjonctif imparfait,"il (elle, on)",dît,1,reviewed,irregular vous form and literary forms; QA recommended
FR,dire,Subjonctif,Subjonctif imparfait,nous,dissions,1,reviewed,irregular vous form and literary forms; QA recommended
FR,dire,Subjonctif,Subjonctif imparfait,vous,dissiez,1,reviewed,irregular vous form and literary forms; QA recommended
FR,dire,Subjonctif,Subjonctif imparfait,ils (elles),dissent,1,reviewed,irregular vous form and literary forms; QA recommended
FR,voir,Indicatif,Présent,je,vois,1,reviewed,irregular paradigm; QA recommended
FR,voir,Indicatif,Présent,tu,vois,1,reviewed,irregular paradigm; QA recommended
FR,voir,Indicatif,Présent,"il (elle, on)",voit,1,reviewed,irregular paradigm; QA recommended
FR,voir,Indicatif,Présent,nous,voyons,1,reviewed,irregular paradigm; QA recommended
FR,voir,Indicatif,Présent,vous,voyez,1,reviewed,irregular paradigm; QA recommended
FR,voir,Indicatif,Présent,ils (elles),voient,1,reviewed,irregular paradigm; QA recommended
FR,voir,Indicatif,Futur,je,verrai,1,reviewed,irregular paradigm; QA recommended
FR,voir,Indicatif,Futur,tu,verras,1,reviewed,irregular paradigm; QA recommended
FR,voir,Indicatif,Futur,"il (elle, on)",verra,1,reviewed,irregular paradigm; QA recommended
FR,voir,Indicatif,Futur,nous,verrons,1,reviewed,irregular paradigm; QA recommended
FR,voir,Indicatif,Futur,vous,verrez,1,reviewed,irregular paradigm; QA recommended
FR,voir,Indicatif,Futur,ils (elles),verront,1,reviewed,irregular paradigm; QA recommended
FR,voir,Indicatif,Passé composé,je,ai vu,1,reviewed,irregular paradigm; QA recommended
FR,voir,Indicatif,Passé composé,tu,as vu,1,reviewed,irregular paradigm; QA recommended
FR,voir,Indicatif,Passé composé,"il (elle, on)",a vu,1,reviewed,irregular paradigm; QA recommended
FR,voir,Indicatif,Passé composé,nous,avons vu,1,reviewed,irregular paradigm; QA recommended
FR,voir,Indicatif,Passé composé,vous,avez vu,1,reviewed,irregular paradigm; QA recommended
FR,voir,Indicatif,Passé composé,ils (elles),ont vu,1,reviewed,irregular paradigm; QA recommended
FR,voir,Indicatif,Imparfait,je,voyais,1,reviewed,irregular paradigm; QA recommended
FR,voir,Indicatif,Imparfait,tu,voyais,1,reviewed,irregular paradigm; QA recommended
FR,voir,Indicatif,Imparfait,"il (elle, on)",voyait,1,reviewed,irregular paradigm; QA recommended
FR,voir,Indicatif,Imparfait,nous,voyions,1,reviewed,irregular paradigm; QA recommended
FR,voir,Indicatif,Imparfait,vous,voyiez,1,reviewed,irregular paradigm; QA recommended
FR,voir,Indicatif,Imparfait,ils (elles),voyaient,1,reviewed,irregular paradigm; QA recommended
FR,voir,Conditionnel,Conditionnel présent,je,verrais,1,reviewed,irregular paradigm; QA recommended
FR,voir,Conditionnel,Conditionnel présent,tu,verrais,1,reviewed,irregular paradigm; QA recommended
FR,voir,Conditionnel,Conditionnel présent,"il (elle, on)",verrait,1,reviewed,irregular paradigm; QA recommended
FR,voir,Conditionnel,Conditionnel présent,nous,verrions,1,reviewed,irregular paradigm; QA recommended
FR,voir,Conditionnel,Conditionnel présent,vous,verriez,1,reviewed,irregular paradigm; QA recommended
FR,voir,Conditionnel,Conditionnel présent,ils (elles),verraient,1,reviewed,irregular paradigm; QA recommended
FR,voir,Impératif,Impératif,je,-,1,reviewed,irregular paradigm; QA recommended; French imperative only uses tu / nous / vous; placeholder - used for unsupported slot
FR,voir,Impératif,Impératif,tu,vois,1,reviewed,irregular paradigm; QA recommended
FR,voir,Impératif,Impératif,"il (elle, on)",-,1,reviewed,irregular paradigm; QA recommended; French imperative only uses tu / nous / vous; placeholder - used for unsupported slot
FR,voir,Impératif,Impératif,nous,voyons,1,reviewed,irregular paradigm; QA recommended
FR,voir,Impératif,Impératif,vous,voyez,1,reviewed,irregular paradigm; QA recommended
FR,voir,Impératif,Impératif,ils (elles),-,1,reviewed,irregular paradigm; QA recommended; French imperative only uses tu / nous / vous; placeholder - used for unsupported slot
FR,voir,Subjonctif,Subjonctif présent,je,voie,1,reviewed,irregular paradigm; QA recommended
FR,voir,Subjonctif,Subjonctif présent,tu,voies,1,reviewed,irregular paradigm; QA recommended
FR,voir,Subjonctif,Subjonctif présent,"il (elle, on)",voie,1,reviewed,irregular paradigm; QA recommended
FR,voir,Subjonctif,Subjonctif présent,nous,voyions,1,reviewed,irregular paradigm; QA recommended
FR,voir,Subjonctif,Subjonctif présent,vous,voyiez,1,reviewed,irregular paradigm; QA recommended
FR,voir,Subjonctif,Subjonctif présent,ils (elles),voient,1,reviewed,irregular paradigm; QA recommended
FR,voir,Indicatif,Passé Simple,je,vis,1,reviewed,irregular paradigm; QA recommended
FR,voir,Indicatif,Passé Simple,tu,vis,1,reviewed,irregular paradigm; QA recommended
