spanish,french,spanish synonyms,french synonyms
escuela,école,colegio;instituto;academia,établissement scolaire;collège;lycée
música,musique,melodía;canción,mélodie;son
pregunta,question,cuestión;interrogante,interrogation
miedo,peur,temor;pavor,crainte;terreur
propio,propre,característico,
principal,principal,fundamental,
imagen,image,figura;representación,représentation;illustration
palabra,mot,vocablo;término,terme;vocable
plan,plan,proyecto;intención,projet;intention
campo,campagne,prado;terreno,champ
película,film,cinta;filme,long-métrage
respuesta,réponse,contestación,réplique
precio,prix,valor;costo;tarifa,coût;tarif
mercado,marché,zoco;feria,foire;bazar
comida,nourriture,alimento;manjar,aliment;bouffe
oportunidad,opportunité,ocasión;chance,occasion;chance
iglesia,église,templo,
central,central,,
viaje,voyage,travesía;recorrido,périple;trajet
mar,mer,piélago;océano,océan
local,local,,
hermano,frère,,frangin
niño,enfant,crío;muchacho,gamin;gosse;garçon
red,réseau,,
objetivo,objectif,meta,but;cible
río,fleuve,riachuelo;corriente,rivière;cours d'eau
negro,noir,oscuro,sombre
interior,intérieur,,
sol,soleil,astro,astre
pequeño,petit,chico,mince;réduit
blanco,blanc,albo;claro,clair
aire,air,atmósfera,atmosphère
lejos,loin,distante,éloigné
arriba,en haut,encima,au-dessus
puerta,porte,acceso;entrada,accès;entrée
puerto,port,embarcadero;muelle,quai
hija,fille,vástago;nena,
color,couleur,tonalidad;tono,teinte
banco,banque,,
oficina,bureau,despacho,
capacidad,capacité,aptitud,
modelo,modèle,ejemplo;prototipo,
fuego,feu,lumbre;llama,flamme;incendie
culpa,culpabilité,responsabilidad;falta,faute
cámara,caméra,cámara fotográfica,appareil photo
probablemente,probablement,posiblemente,sans doute;vraisemblablement
decisión,décision,determinación;resolución,résolution;détermination
abajo,en bas,debajo,en dessous
isla,île,islote,îlot
versión,version,,
odio,haine,aversión;repugnancia,aversion;répulsion
ropa,vêtements,vestimenta;indumentaria;atuendo,habits;fringues
ropa,vêtement,vestimenta,habits;fringues
isla,île,islote,îlot
profesor,professeur,maestro;docente,enseignant
original,original,primigenio,
prensa,étau,tornillo de banco,
canal,canal,,
verano,été,,
hospital,hôpital,sanatorio,
completamente,complètement,totalmente,entièrement
suelo,sol,pavimento;piso;superficie,plancher;terrain
sala,salon,estancia,séjour
protección,protection,amparo,
sueño,sommeil,,rêve
edificio,bâtiment,inmueble;construcción,immeuble;construction
mesa,table,escritorio;mostrador,bureau
completo,complet,íntegro,
material,matériau,materia,matière
venta,vente,transacción,transaction
solución,solution,resolución;remedio,remède;issue
confianza,confiance,seguridad;fe,assurance
hambre,faim,apetito;gana,appétit
legal,légal,lícito,licite
perro,chien,can,canin
cama,lit,lecho;catre,couchette
opción,option,alternativa,choix
memoria,mémoire,recuerdo,souvenir;mémoire
silencio,silence,mutismo;calma,
producto,produit,artículo;mercancía,article;marchandise
médico,médecin,doctor,docteur
verde,vert,verdoso,
esperanza,espoir,ilusión;expectativa,espérance
hermana,soeur,,frangine
parque,parc,,
comercial,commercial,,
exterior,extérieur,,
rojo,rouge,encarnado;rojizo,roux
niña,fille,cría;muchacha,fillette
juez,juge,magistrado,
carne,viande,filete,bifteck
teatro,théâtre,,
azul,bleu,añil;celeste,azur
marco,cadre,contexto,
pan,pain,hogaza;barra,baguette
sección,section,apartado,
pelo,cheveux,cabello;cabellera,tignasse
peligro,danger,riesgo;amenaza,risque;menace
amiga,amie,compañera;camarada,copine;camarade
estación,gare,parada;terminal,station
baño,salle de bains,lavabo;aseo,toilettes;sanitaires
compra,achat,adquisición,acquisition
exactamente,exactement,cabalmente,
hotel,hôtel,,
demanda,demande,petición,requête
luna,lune,satélite,satellite
piso,étage,planta;nivel,niveau
abogado,avocat,letrado,
contexto,contexte,entorno,
piedra,pierre,roca;canto,rocher;caillou
piedra,pierre,roca;canto,rocher
aeropuerto,aéroport,aeródromo;terminal aéreo,aérogare
idioma,langue,lengua,langage
basura,poubelle,desechos;residuos,ordures
corto,court,breve,bref
tienda,magasin,negocio;local,boutique;échoppe
coche,voiture,automóvil;auto,bagnole;caisse
leche,lait,,laitage
perfil,profil,,
pantalla,écran,monitor,moniteur
león,lion,,
ropa interior,sous-vêtements,lencería,lingerie
artista,artiste,,
identidad,identité,,
playa,plage,orilla;costa,rivage;côte
permiso,permission,autorización;licencia,autorisation
tren,train,ferrocarril,chemin de fer
cocina,cuisine,,kitchenette
rosa,rose,rosado,
tren,train,ferrocarril,chemin de fer
dulce,doux,azucarado,sucré
puente,pont,pasarela;viaducto,passerelle;viaduc
periodista,journaliste,reportero,
estrategia,stratégie,táctica;plan,tactique;plan
claramente,clairement,evidentemente,nettement;évidemment
frío,froid,gélido,glacial
pensamiento,pensée,reflexión;idea;razonamiento,réflexion;pensée
claramente,clairement,evidentemente,évidemment
precisamente,précisément,justamente,justement
avión,avion,aeroplano;aeronave,appareil
madera,bois,leño,
biblioteca,bibliothèque,mediateca,
escritor,écrivain,autor,
resolución,résolution,determinación,
regional,régional,,
museo,musée,,
habitación,chambre,alcoba;cuarto;dormitorio,pièce
rápidamente,rapidement,rápido;velozmente,vite;prestement
plataforma,plateforme,tarima,estrade
técnico,technique,,
frecuencia,fréquence,,
valle,vallée,,
metro,métro,subte,métropolitain
viento,vent,brisa;ráfaga,brise;rafale
estrella,étoile,astro,astre
temprano,tôt,pronto,de bonne heure
capítulo,chapitre,,
señal,signal,letrero;indicio,signe
tarjeta,carte,cartulina,
sorpresa,surprise,asombro;extrañeza,étonnement
igualdad,égalité,equivalencia;paridad,
seguramente,sûrement,con seguridad,certainement
normalmente,normalement,habitualmente,habituellement
oferta,offre,promoción,promotion
invierno,hiver,,
clima,climat,,météo
escala,échelle,,
cerebro,cerveau,sesos,cervelle
vergüenza,honte,pena;bochorno,gêne;embarras
industrial,industriel,,
mentira,mensonge,embuste;engaño;falsedad,tromperie;fausseté
resumen,résumé,sumario,synthèse
constante,constante,,
gato,chat,minino;micho,minet
archivo,fichier,fichero,
cuello,cou,pescuezo,
carretera,route,vía;autovía;calzada,voie;chaussée
lluvia,pluie,precipitación;chaparrón,averse;précipitation
moneda,monnaie,pecunia;divisa,pièce;devise
motor,moteur,propulsor,propulseur
amistad,amitié,compañerismo;camaradería,camaraderie
alegría,joie,felicidad;gozo,bonheur;allégresse
pecho,poitrine,torso;busto,buste
licencia,licence,permiso,permis
perfectamente,parfaitement,impecablemente,impeccablement
castillo,château,fortaleza,forteresse
primavera,printemps,,
vestido,robe,,tenue
vestido,robe,atuendo,tenue
ruido,bruit,sonido;estruendo,vacarme
bosque,forêt,arboleda;selva,bois
sal,sel,,
ilegal,illégal,ilícito,illicite
vestido,robe,,tenue
ruido,bruit,sonido,son
jardín,jardin,huerto,potager
jardín,jardin,huerto,potager
perspectiva,point de vue,punto de vista,
caballo,cheval,corcel;potro,destrier
orgullo,fierté,soberbia;vanidad,orgueil
montaña,montagne,sierra;monte;cerro,sommet;mont
rural,rural,campestre,
estadio,stade,,
ventana,fenêtre,ventanal,vitre;lucarne
actor,acteur,intérprete,comédien
zapatos,chaussures,calzado,souliers
barco,bateau,navío;embarcación,navire;embarcation
clásico,classique,tradicional,
cuadro,tableau,obra;pintura;lienzo,peinture
granada,grenade,,
taller,atelier,obrador,
pared,mur,tapia;muro,paroi
huevo,oeuf,,
teléfono inteligente,smartphone,móvil;celular,téléphone portable
científico,scientifique,,
formato,format,,
lago,lac,charca;laguna,étang
falso,faux,falsificado,contrefait
copia,copie,reproducción;duplicata,
fábrica,usine,factoría,
flor,fleur,capullo,
dedo,doigt,,
peligroso,dangereux,arriesgado,risqué
techo,toit,tejado;cubierta,toiture;plafond
columna,colonne,,
anuncio,annonce,aviso,publicité
azúcar,sucre,,
aceite,huile,,
raíz,racine,,
índice,index,tabla de materias,table des matières
moderno,moderne,actual,
queso,fromage,,
templo,temple,santuario,
metal,métal,aleación,alliage
solidaridad,solidarité,apoyo;ayuda,soutien
cable,câble,cordón,fil
silla,chaise,butaca;asiento,siège;fauteuil
ingeniero,ingénieur,,
brillante,brillant,reluciente,éclatant
cena,dîner,,souper
batería,batterie,acumulador,accumulateur
enfermo,malade,indispuesto,souffrant
agradable,agréable,placentero,plaisant
espejo,miroir,luna,glace
espejo,miroir,luna,glace
chocolate,chocolat,,
paciencia,patience,tolerancia,tolérance
urbano,urbain,citadino,
urbano,urbain,citadin,
piloto,pilote,,
patio,cour,terraza,terrasse
arroz,riz,,
nieve,neige,nevada,chute de neige
pollo,poulet,,volaille
soldado,soldat,militar,
roca,roche,piedra,pierre
combustible,carburant,carburante;gasolina,essence
desayuno,petit-déjeuner,,
traje,costume,terno;ambo,complet
cartel,pancarte,póster;afiche,affiche
rueda,roue,llanta;neumático;goma,pneu
recuperación,récupération,restablecimiento,
hoja,feuille,,
conductor,conducteur,chofer,chauffeur
ancho,large,amplio,vaste;ample
rendimiento,performance,desempeño,
patrón,schéma;motif,esquema;modelo,
medias,bas,calcetines,chaussettes
patrón,motif,diseño;modelo,dessin
desierto,désert,,
asiento,siège,butaca;plaza,place
calma,calme,tranquilidad;paz,tranquillité;sérénité
parada,arrêt,paradero;estación,station
portada,couverture,carátula,
parcial,partiel,,
criterio,critère,norma,
mate,mat,opaco,terne
suave,doux,blando,moelleux
manual,manuel,guía,guide
amarillo,jaune,amarillento,
actualización,mise à jour,modernización,
académico,académique,universitaire,
prioridad,priorité,prelación,
moto,moto,motocicleta,motocyclette
salsa,sauce,,
gris,gris,grisáceo,
autobús,bus,colectivo;camión,autocar
bicicleta,vélo,bici,bicyclette
camiseta,T-shirt,remera;playera;franela,maillot
camiseta,t-shirt,playera,maillot
taxi,taxi,,
transparencia,transparence,claridad,
fila,ligne,hilera,rangée
tristeza,tristesse,pena;melancolía;pesadumbre,chagrin;mélancolie
carretera secundaria,route secondaire,carretera comarcal,départementale
rama,branche,ramo,
profundamente,profondément,hondamente,
mapa mental,carte mentale,mapa conceptual,
clínica,clinique,sanatorio,
ácido,acide,agrio,
otoño,automne,,
naranja,orange,anaranjado,
seco,sec,árido,
seco,sec,árido,aride
naranja,orange,,
ácido,acide,agrio,
apartamento,appartement,departamento;piso,
fruto,fruit,fruta,
privacidad,confidentialité,intimidad,
cuadros,carreaux,tartán;escocés,
intensidad,intensité,fuerza,
traje de baño,maillot de bain,bañador;vestido de baño,
plástico,plastique,,
plástico,plastique,,
vidrio,verre,cristal,
sano,sain,saludable,en bonne santé
pescado,poisson,,
pesado,lourd,denso,
pesado,lourd,pesant,
lana,laine,,
maíz,maïs,elote;choclo;jojoto,
helado,glace,crema helada,crème glacée
satisfacción,satisfaction,contento,contentement
visible,visible,perceptible,
tela,tissu,tejido,étoffe
frecuentemente,fréquemment,a menudo,souvent
fruta,fruit,,
lobo,loup,,
terremoto,séisme,sismo;temblor,tremblement de terre
camisa,chemise,blusa,chemisier
hombro,épaule,,
camisa,chemise,blusa,chemisier
respaldo,sauvegarde,copia de seguridad,
catálogo,catalogue,,
esquema,plan;schéma,diagrama,schéma
horno,four,,fourneau
miel,miel,,
almuerzo,déjeuner,,dîner
lealtad,loyauté,fidelidad,fidélité
ligeramente,légèrement,levemente,
autopista,autoroute,autovía,voie rapide
precisión,précision,exactitud,
cueva,grotte,caverna;gruta,caverne
manzana,pomme,,
vaca,vache,res,bovin
ordenador,ordinateur,computadora;PC,
escalera,escalier,,
barba,barbe,,
cuero,cuir,piel,peau
tigre,tigre,,
artificial,artificiel,sintético,synthétique
sed,soif,,
sopa,soupe,caldo,potage;bouillon
mono,singe,simio;primate,
harina,farine,,
oso,ours,,
claridad,clarté,nitidez;transparencia,netteté
teclado,clavier,,
sombrero,chapeau,pamela,
sombrero,chapeau,,
limón,citron,,
auténtico,authentique,genuino,véritable
variable,variable,,
armonía,harmonie,paz;equilibrio,équilibre
cerdo,cochon,puerco;chancho;marrano,porc
ligero,léger,liviano,
algodón,coton,,
lateral,latéral,,
aceite esencial,huile essentielle,,
ligero,léger,liviano,
transparente,transparent,claro,
músico,musicien,,
arroyo,ruisseau,riachuelo,
nube,nuage,cloud,
secundario,secondaire,accesorio,accessoire
tomate,tomate,jitomate,
pintor,peintre,,
pasta de dientes,dentifrice,crema dental,
envidia,jalousie,,convoitise
botas,bottes,botines,
cinturón,ceinture,correa;cincho,
arquitecto,architecte,,
parcialmente,partiellement,a medias,
cinturón,ceinture,cinto;correa,
wifi,wifi,,
restauración,restauration,restitución,
preferencia,préférence,predilección,
silla de ruedas,fauteuil roulant,,
fotógrafo,photographe,,
invisible,invisible,imperceptible,
vertical,vertical,,
mochila,sac à dos,,
coco,noix de coco,,
billete,billet,entrada;ticket,ticket
mineral,minéral,,
pila,pile,,batterie
pastel,gâteau,torta;tarta,
plenamente,pleinement,totalmente,entièrement
automóvil,automobile,coche;auto,voiture
accesible,accessible,alcanzable,
contemporáneo,contemporain,actual,
bolso,sac à main,bolsa;cartera,sacoche
rodilla,genou,,
configuración,configuration,ajustes;parametrización,réglages
comedor,salle à manger,,
plantilla,modèle,machote,gabarit
plantilla,semelle,plantilla ortopédica,semelle orthopédique
postre,dessert,dulce,entremets
farmacia,pharmacie,botica,
postal,carte postale,tarjeta postal,
jersey,pull,pulóver;suéter,chandail
cordero,agneau,,
prado,pré,pradera,prairie
col,chou,repollo;berza,
decepción,déception,desilusión;desengaño,désillusion
cebolla,oignon,,
honestidad,honnêteté,sinceridad,sincérité
hígado,foie,,
protector,protecteur,defensa,
desagradable,désagréable,molesto,déplaisant
dormitorio,chambre,cuarto;habitación;pieza;alcoba,
matriz,matrice,,
celda,cellule,casilla,
cuna,berceau,camita,lit de bébé
volante,volant,timón;manubrio,guidon
cintura,taille,,
colina,colline,cerro;loma,
botas de lluvia,bottes de pluie,,
billete de tren,billet de train,boleto;pasaje;ticket,
batería externa,batterie externe,batería portátil;power bank,
pájaro,oiseau,ave,
volcán,volcan,,
pato,canard,ánade,
nostalgia,nostalgie,añoranza,mélancolie
pantalón,pantalon,calzón,
marea,marée,,
celos,jalousie,recelo,
pantalón,pantalon,pantalones;vaqueros,jean
marrón,brun,castaño,marron
pasillo,couloir,corredor,dégagement
zapatillas,chaussons,bambas;tenis,pantoufles;baskets
horizontal,horizontal,,
paloma,colombe,pichón,pigeon
abrigo,manteau,gabán;sobretodo,pardessus
abrigo,manteau,sobretodo;tapado,pardessus
chaqueta,veste,cazadora;chamarra,blouson
chaqueta,veste,cazadora;saco,blouson
equidad,équité,imparcialidad;justicia,
indiferencia,indifférence,desinterés;apatía,désintérêt;apathie
ensalada,salade,,
cuidadosamente,soigneusement,meticulosamente,méticuleusement
supermercado,supermarché,súper,
semilla,graine,pepita;simiente,pépin
alfombra,tapis,tapete;estera,moquette
alfombra,tapis,tapete;moqueta,
araña,araignée,,
enojo,colère,enfado;ira;rabia,fureur
falda,jupe,saya;pollera,
pimienta,poivre,,
falda,jupe,saya;pollera,
perfume,parfum,aroma;fragancia;colonia;esencia,fragrance;senteur
cartón,carton,,
freno,frein,,
frontal,frontal,,
cajón,tiroir,gaveta,
librería,librairie,,
cajón,tiroir,gaveta,
águila,aigle,rapaz,
jabón,savon,,
ratón,souris,mouse,
frontal,lampe frontale,,
mantequilla,beurre,,
tronco,tronc,,
tablero,plaque,panel,panneau
balcón,balcon,terraza,terrasse
jamón,jambon,,
armario,armoire,ropero;clóset,penderie;placard
neutral,neutre,neutro,
armario,armoire,clóset;ropero;placard,penderie
ascensor,ascenseur,elevador,
mango,mangue,,
piña,ananas,ananá,
frustración,frustration,decepción;fracaso,échec
cabra,chèvre,chivo,bouc
cortina,rideau,visillo,voilage
cortina,rideau,visillo,voilage
mariposa,papillon,,
protector solar,crème solaire,bloqueador solar,écran solaire
bodega,cave,sótano,
amargo,amer,,
perla,perle,,
toalla,serviette,,
ajo,ail,,
caravana,caravane,casa rodante,roulotte
micrófono,microphone,micro,
elefante,éléphant,,
frágil,fragile,quebradizo,cassant
ético,éthique,moral,
cálido,chaud,caliente,
selva tropical,jungle tropicale,jungla,
guantes,gants,manoplas,moufles
uva,raisin,,
carpeta,dossier,directorio,
recto,droit,derecho,
húmedo,humide,mojado,
optimismo,optimisme,positivismo,
cera,cire,,
mármol,marbre,,
pulmón,poumon,,
aroma,arôme,fragancia;perfume;olor,parfum;senteur
lámpara,lampe,bombilla;foco,luminaire
textil,textile,,
coherencia,cohérence,cohesión,
lámpara,lampe,bombilla;foco,luminaire
equipaje,bagage,maletas;bultos,valise
rocío,rosée,,
gorra,casquette,cachucha,
tiburón,requin,escualo,
gorra,casquette,cachucha,
coral,corail,,
portátil,portable,portativo,
empatía,empathie,comprensión,
flexible,flexible,elástico,souple
coral,corail,,
gorra,casquette,,
violeta,violet,morado,
cubo,seau,balde,
manta,couverture,frazada;cobija,plaid
prólogo,prologue,prefacio;introducción,préface;introduction
zapato,chaussure,calzado,soulier
caldo,bouillon,consomé,
almohada,oreiller,cojín;cabecera,traversin
orgánico,organique,biologique,
granito,granit,,
mojado,mouillé,húmedo,humide;trempé
marfil,ivoire,,
bigote,moustache,,
exactitud,exactitude,precisión,
faro,phare,,projecteur
auriculares,écouteurs,cascos;audífonos,casque
escuadra,équerre,,
cargador,chargeur,,
cuervo,corbeau,,
amplitud,amplitude,,
metálico,métallique,,
hormigón,béton,concreto,
confidencial,confidentiel,secreto,
regla flexible,règle souple,,
martillo de bola,marteau à panne ronde,,
garaje,garage,cochera,
colchón,matelas,colchoneta,
zorro,renard,,
garaje,garage,cochera,
rayas,rayures,listas,
colchón,matelas,colchoneta,
resonancia,résonance,eco,écho
chimenea,cheminée,hogar,foyer
resistente,résistant,fuerte,solide
calefacción,chauffage,calefactor,
corbata,cravate,,
guantes de lana,gants en laine,,
sótano,sous-sol,bodega,cave
atún,thon,,
objetividad,objectivité,imparcialidad,
ventilador,ventilateur,abanico,
oveja,mouton,borrego,brebis
sótano,sous-sol,bodega,cave
plátano,banane,banana;cambur;guineo,
raramente,rarement,pocas veces,
salado,salé,,
cadera,hanche,,
interferencia,interférence,perturbación,
consistencia,consistance,coherencia,
trapo,chiffon,paño;bayeta,torchon
yeso,plâtre,escayola,
microondas,micro-ondes,,
folleto,brochure,prospecto,dépliant
pera,poire,,
vinagre,vinaigre,,
carrito,poussette,cochecito;carriola,
cajero,caissier,cajera,
tobillo,cheville,,
parche,correctif,remiendo,rustine
pizarra,ardoise,pizarrón;encerado,tableau noir
esponja,éponge,,
impresora,imprimante,,
hilo dental,fil dentaire,seda dental,
camarero,serveur,mesero,
ballena,baleine,,
cocinero,cuisinier,chef,
gorro,bonnet,gorra,
esmeralda,émeraude,,
intestino,intestin,tripas,boyaux
tendido,literie,ropa de cama,linge de lit
fresa,fraise,frutilla,
cascada,cascade,catarata,chute d'eau
barroco,baroque,,
semáforo,feu tricolore,,feu
peaje,péage,portazgo,
huerto urbano,potager urbain,,
calabaza,citrouille,auyama;zapallo;calabacín,
frijoles,haricots,porotos;caraotas;judías;habichuelas,
ciclón,cyclone,huracán;tifón,ouragan;typhon
riñón,rein,,
linterna,lampe de poche,linterna eléctrica,
loro,perroquet,cotorra;papagayo,
blusa,blouse,camisola,
resaca,ressac,oleaje,houle
prudencia,prudence,cautela,précaution
compás,compas,,
mermelada,confiture,,
zócalo,plinthe,rodapié,soubassement
helada,gel,congelación;escarcha,gelée
cepillo de dientes,brosse à dents,,
vaqueros,jean,pantalón vaquero,
calcetines,chaussettes,medias;calcetas,
guante,gant,,moufle
patata,pomme de terre,papa,
lechuga,laitue,,salade
delfín,dauphin,,
salmón,saumon,,
trueno,tonnerre,,
regla metálica,règle métallique,,
zanahoria,carotte,,
abeja,abeille,,
rígido,rigide,tieso,raide
halcón,faucon,ave de rapiña,
cepillo eléctrico,raboteuse,cepilladora,rabot
relámpago,éclair,rayo,foudre
jade,jade,,
parámetro,paramètre,,
carnicero,boucher,,
pesimismo,pessimisme,negatividad,
compacto,compact,denso,
puerta de embarque,porte d'embarquement,puerta de salida,
pastilla de freno,plaquette de frein,,
lunares,pois,topos,
ático,grenier,desván;buhardilla;sobrado,
liso,lisse,llano,uni
pulpo,pieuvre,octópodo,poulpe
paño,torchon,trapo,chiffon
escoba,balai,,
vector,vecteur,,
acústica,acoustique,,
pijama,pyjama,,
verdura,légume,hortaliza,
hormiga,fourmi,,
mosquito,moustique,zancudo,
pepino,concombre,,
prótesis,prothèse,,
router,routeur,enrutador,
gaviota,goéland,,mouette
páramo,lande,erial;yermo,
melón,melon,,
periférico,périphérique,,
galleta,biscuit,,
caverna,caverne,cueva,grotte
bombero,pompier,apagafuegos,
cuarzo,quartz,,
ladera,versant,falda,pente
cucaracha,cafard,barata,blatte
grifo,robinet,llave;canilla,
despensa,garde-manger,alacena,
yogur,yaourt,,
bragas,culotte,panti;bombacha,
intermitente,clignotant,luz de giro;direccional,
lavadora,lave-linge,lavarropas,machine à laver
cráter,cratère,,
altavoz,haut-parleur,parlante;bocina,enceinte
sábana,drap,ropa de cama,literie
pradera,prairie,prado,pré
enchufe,prise,conector,
enchufe,prise,tomacorriente,
interruptor,interrupteur,apagador;llave de luz,
diésel,gazole,gasoil,diesel
ternera,veau,,
trucha,truite,,
camello,chameau,,
ganso,oie,oca,
levadura,levure,,
altavoz inteligente,enceinte connectée,parlante inteligente,haut-parleur intelligent
cafetera,cafetière,cafetera de filtro,
bufanda,écharpe,pañuelo,foulard
bufanda,écharpe,chalina,foulard
sandalias,sandales,chancletas;chanclas,
remolque,remorque,tráiler,
acantilado,falaise,precipicio,précipice
bombilla,ampoule,foco;lamparita,
bombilla,ampoule,foco;bombillo,
bluetooth,Bluetooth,,
termo,thermos,botella termo,
discordia,discorde,desacuerdo,désaccord
ansia,anxiété,ansiedad;anhelo,désir ardent
jarra,carafe,jarro,pichet
fragancia,fragrance,aroma;perfume;olor,parfum;senteur
narciso,narcisse,,
tibio,tiède,templado,
narciso,narcisse,,
salchicha,saucisse,chorizo,
ámbar,ambre,,
monzón,mousson,,
ardilla,écureuil,,
credencial,carte d'identité,identificación,
polen,pollen,,
bacalao,morue,abadejo,
abs,ABS,sistema antibloqueo de ruedas,
narciso (flor),narcisse,,
peine,peigne,,
bufanda de lana,écharpe en laine,,
glaciar,glacier,,
visiblemente,visiblement,notoriamente,notoirement
tableta,tablette,tablet,
champú,shampooing,,
panadero,boulanger,,
colmena,ruche,,
pimiento,poivron,pimentón;ají;chile,
enfermero,infirmier,enfermera,
poncho,poncho,,
calzoncillos,caleçon,calzones;calzoncillo,slip
sandía,pastèque,patilla;melón de agua,
suéter,pull,jersey;pulóver,chandail
soldadura,soudure,soldado,
cableado,câblage,,
acné,acné,granos;espinillas,boutons
estaño,étain,,
transformador,transformateur,transfo,
rubí,rubis,,
sujetador,soutien-gorge,brasier;sostén;corpiño,
inaccesible,inaccessible,inalcanzable,
taladro,perceuse,taladradora,
dirección asistida,direction assistée,,
blindaje,blindage,coraza,
áspero,rugueux,rugoso,rêche
calidez,chaleur humaine,calidez humana,chaleur
foca,phoque,,
hormiguero,fourmilière,,
módem,modem,,
pañal,couche,pañal desechable,couche-culotte
costero,côtier,littoral,
cereza,cerise,guinda,
estante,étagère,anaquel;repisa,rayon
estante,étagère,repisa;anaquel,rayon
taladro de columna,perceuse à colonne,,
moño,chignon,rodete,
proyector,projecteur,videoproyector,vidéoprojecteur
desodorante,déodorant,,
maletero,coffre,baúl;maletera;cajuela,
maletero,coffre,baúl;maletera;cajuela,
frialdad,froideur,distancia;indiferencia,distance
impermeable,imperméable,estanco,étanche
medusa,méduse,aguaviva;malagua,
detergente,détergent,jabón en polvo,lessive
sudadera,sweat,polerón;buzo,sweat-shirt
sardina,sardine,,
cerrojo,pêne,pasador,verrou
especia,épice,condimento;aliño,condiment
ermitaño,ermite,anacoreta,
papaya,papaye,lechosa;frutabomba,
adaptador,adaptateur,,
cebra,zèbre,,
crujiente,croquant,crocante,croustillant
escáner,scanner,digitalizador,
savia,sève,,
estampado,imprimé,impreso,
hostal,auberge,albergue,
anguila,anguille,,
opaco,opaque,,
avispa,guêpe,,
aceituna,olive,,
polilla,mite,tine,
afiche,affiche,póster;cartel,
inalámbrico,sans fil,,
marisco,fruits de mer,crustáceos,crustacés
muletas,béquilles,,
turquesa,turquoise,,
jirafa,girafe,,
montañoso,montagneux,,
fregadero,évier,pila,
kiwi,kiwi,,
berenjena,aubergine,,
melocotón,pêche,durazno,
trenza,tresse,natté,
vasija,jarre,recipiente,
bochorno,canicule,calor;sofoco,chaleur étouffante
cojín,coussin,almohada;almohadón,
cojín,coussin,almohadón,
calcetín,chaussette,media,bas
arruga,ride,,
calcetín,chaussette,media,bas
absorbente,absorbant,,
camaleón,caméléon,,
airbag,airbag,bolsa de aire,coussin gonflable
mapache,raton laveur,,
peca,tache de rousseur,,
saltamontes,sauterelle,chapulín,criquet
nota adhesiva,note adhésive,post-it,
zafiro,saphir,,
